# LIFE_ETHICS V4 targeted false-negative recovery (human semantic judgments on candidates found via existing metadata/keywords; keywords never decide)
# fields: short_id|R(RESTORE)/D(REMAIN_DROP)|target_area|philosophers(;)|evidence_profile|reuse_scope F/P/-|core_content|usable_content|rationale|review_reasons(;)|search_round(1=initial targeted,2=coverage-gap search)
2014_SEPTEMBER_Q20|R|CULTURE|-|CULT_MODEL|P|이주민 문화에 대한 태도로서 다문화 사회 통합 모형(용광로 모형 사례: 이주민 음악과 우리 음악을 종합한 새로운 음악)|용광로(문화 융합)형 통합 모형의 사례 선지와 다문화 정책 사례 선지(집단 거주지·공용어·정체성 교육기관·전통 예법 지원)|십자말풀이 단서(세속오계·로고스 등)는 생윤 고유이나 정답과 선지 대부분이 다문화 사회 통합 모형 사례로, 1-04-04·28예시 Q3(동화/다문화주의 정책)·1-04-02 문화 융합과 직접 연결되는 원천 콘텐츠.|십자말풀이 단서는 제거 필요|1
2016_CSAT_Q18|R|CULTURE|헌팅턴;뮐러|CULT_CONFLICT|P|문명 간 갈등의 원인(문명 이질성 vs 소통 단절)과 교류·대화를 통한 갈등 완화|문명 공존론 측 '국제 교류 확대를 통한 갈등 완화' 선지, 문명 간 갈등 원인 대비|문명 충돌론 세부(단층선·핵심국)는 생윤 고유이나 국제 사회 갈등의 원인과 교류·협력을 통한 해결(2-04-02 해설·고려 사항, 최소 성취수준 '국제 사회의 갈등과 협력 사례')에 쓸 수 있는 실질 콘텐츠가 있음.|V4에서 공식 근거 부족으로 DROP된 문항;문명 충돌론 세부|1
2016_SEPTEMBER_Q15|D|CULTURE|루소;맹자|D_OFFTOPIC|-|인민주권(루소)과 민본(맹자) 정치사상 비교|-|문화 키워드 오탐. 정치사상 비교로 4개 자료의 통합사회 문화·정의·인권 영역 어디와도 실질적으로 연결되지 않음.||1
2017_SEPTEMBER_Q12|R|CULTURE|킴리카;배리|CULT_MODEL|P|집단별 차별화된 권리를 인정하는 다문화주의와 그 비판(문화 경계 영속화·법 앞의 평등 훼손)|다문화주의 정책의 근거(소수 집단 권리 인정·통합)와 비판 논리가 담긴 제시문·선지|집단 차별적 권리 이론 세부는 생윤이나, 다문화 사회의 갈등과 다문화주의 정책 평가(1-04-04, 28예시 Q3 다문화주의 정책, 최소 성취수준 '다문화 사회 문화적 다양성 존중')에 쓸 실질 콘텐츠.|V4 DROP 문항;정치철학 세부|1
2025_SEPTEMBER_Q17|D|CULTURE|플라톤|D_OFFTOPIC|-|예술의 도덕적 역할(플라톤 예술관)|-|'동화' 키워드 오탐. 예술 윤리로 통합사회 자료와 연결되지 않음.||1
2014_JUNE_Q16|R|ENVIRONMENT|칸트;싱어|ENV_SPECTRUM|P|칸트의 간접적 의무론(인간 중심) vs 싱어의 동물 중심(종차별 비판) 자연관|인간 중심주의와 탈인간 중심주의 대비 제시문·선지|인간 중심주의 대 비인간 중심 관점 비교가 1-03-02(인간 중심주의와 생태 중심주의 중심 비교)와 28예시 Q4 구조에 직접 대응. 동물 중심 세부는 PARTIAL.||1
2015_CSAT_Q14|R|ENVIRONMENT|싱어;요나스;칸트|ENV_SPECTRUM|P|종차별 비판(싱어)·인간 이익 초월 의무(요나스)·인간에 대한 의무 한정(칸트)|탈인간 중심주의 요청 여부, 인간만의 직접적 의무 등 보기|인간 중심 vs 탈인간 중심 대비 보기가 1-03-02 자연관 비교 원천으로 활용 가능.||1
2015_JUNE_Q06|R|ENVIRONMENT|아리스토텔레스;테일러;레오폴드|ENV_CORE|F|인간 중심주의(자연은 인간을 위해 존재) vs 생명 중심 vs 생태 중심(대지 공동체) 비교|인간 중심 vs 생태 중심 비교 보기, 무생물까지 고려 확대|28예시 Q4(베이컨 vs 레오폴드)와 같은 인간 중심 vs 생태 중심 구조가 핵심.||1
2015_JUNE_Q20|R|AID|싱어;롤스|AID_CORE|P|해외 원조의 근거·목표 비교: 이익 평등 고려에 따른 개인 고통 감소(싱어) vs 고통받는 사회를 질서정연한 사회로(롤스)|세계 빈곤 해결의 의무와 방식(개인 복지 vs 사회 제도 개선) 비교|세계화에 따른 빈부 격차(2-04-01 해설), 세계시민의 역할·국제 협력(2-04-02), 세계 인권 문제 해결(2-01-03)에 쓸 원천 콘텐츠. 원조 이론 세부는 PARTIAL.||1
2016_SEPTEMBER_Q19|R|AID|싱어;롤스|AID_CORE|P|해외 원조의 근거·목표 비교: 이익 평등 고려에 따른 개인 고통 감소(싱어) vs 고통받는 사회를 질서정연한 사회로(롤스)|세계 빈곤 해결의 의무와 방식(개인 복지 vs 사회 제도 개선) 비교|세계화에 따른 빈부 격차(2-04-01 해설), 세계시민의 역할·국제 협력(2-04-02), 세계 인권 문제 해결(2-01-03)에 쓸 원천 콘텐츠. 원조 이론 세부는 PARTIAL.||1
