# question_id|K/D|drop_category|required_content(;)|evidence(code:ST/EX/CE/AC:reason ;; ...)|out_of_scope_dependency(;)|rationale|review_reasons(;)
# 공식 교육과정 최종 감사 의미 판정 기록 (pilot 30 + batch 231, 선지 포함 원문 판독)
2015_JUNE_Q06|K||인간 중심주의와 생태 중심주의 구분;생태 중심주의의 도덕적 고려 범위(무생물 포함)|1-03-02:EX:해설이 인간 중심주의와 생태 중심주의 비교를 직접 명시;;1-03-02:CE:내용 요소 '자연관'||정답 핵심(ㄴ 인간중심주의, ㄷ 대지의 무생물 고려)이 해설의 두 관점 비교로 판단 가능. ㄱ 기계론 여부는 제시문의 목적론적 서술로 배제 가능.|사상가 세부(아리스토텔레스 목적론)와 일반 개념 혼재
2021_JUNE_Q15|D|ENV_DETAIL|싱어·레건·칸트 동물 관련 입장 구분||싱어 이익 평등 고려 원칙;레건 삶의 주체·동물 권리;칸트 간접적 의무 세부|벤다이어그램 영역(갑만·을만·병만·갑과을) 배치가 싱어와 레건의 차이, 칸트 간접 의무 세부에 의존하며 해설의 인간 중심주의/생태 중심주의 비교를 넘어섬.|
2026_CSAT_Q07|D|ENV_DETAIL|레오폴드·칸트 상호 비판||칸트의 자연·무생물 관련 간접적 의무(자기 자신에 대한 의무) 세부;레오폴드 대지 공동체 세부|두 관점 대비 구조이나 정답이 칸트의 '자연의 아름다움 훼손=자기 의무 위반' 같은 세부 명제로 결정되어 교육과정의 두 관점 비교 수준을 넘음.|인간중심/생태중심 일반 개념과 사상가 세부 혼재
2018_SEPTEMBER_Q20|K||관용의 한계와 보편 윤리 기준의 문화 평가|1-04-03:ST:보편 윤리 차원에서 자문화와 타문화 평가;;1-04-03:EX:문화 상대주의가 극단으로 흐르지 않도록 보편 윤리 차원에서 평가||인권 침해 관행을 보편 윤리 기준으로 용인하지 않는다는 판단은 1-04-03 원문·해설로 직접 해결됨.|
2021_SEPTEMBER_Q11|K||다문화 사회의 문화 공존 방식(주류 중심 vs 대등한 공존) 구분|1-04-04:ST:다문화 사회 현황과 문화적 다양성 존중;;1-04-04:CE:내용 요소 '다문화 사회'||샐러드 볼·국수 대접 비유가 제시문에 주어져 다문화 사회의 공존 방식 이해로 판단 가능.|
2014_SEPTEMBER_Q09|K||정보 사회의 감시·사생활 침해 문제와 해결 방안|1-05-02:EX:정보화로 나타나는 새로운 사회문제 파악과 해결 방안 모색;;2-01-01:ST:현대 사회 인권의 확장||전자 감시 문제 해결 방안(사생활 보호 제도, 정보 독점 방지)은 정보화 문제 해결 방안으로 판단 가능.|
2018_JUNE_Q11|K||정보 격차의 원인과 정보 복지|1-05-02:EX:해설이 '정보 격차'를 새로운 사회문제로 명시;;2-02-03:EX:사회적 약자 차별·사회 복지 제도||정보 격차 해소 방안 비교로 해설 명시 개념에 직접 대응.|
2022_SEPTEMBER_Q20|K||뉴미디어 시대 허위 정보 문제와 비판적 수용|1-05-02:EX:통신 발달·정보화에 따른 생활양식 변화와 새로운 사회문제 해결||칼럼의 허위 정보 문제와 비판적 사고 요구는 정보화 문제·해결 방안으로 판단 가능.|
2027_JUNE_Q16|D|INFO_ETHICS|하버마스식 의사소통 합리성과 공론장 조건||의사소통 합리성(오류 가능성 전제·비판 수용) 이론 세부|SNS를 소재로 하나 정답은 공론장의 의사소통 합리성 조건이라는 담론 윤리 개념으로 결정되며 통합사회 원문·해설에 해당 개념이 없음.|제시문 독해로 추론 가능성 있음
2024_JUNE_Q05|D|CD_DETAIL|공리주의적 vs 롤스식 시민 불복종 정당화 조건||롤스 시민 불복종론 세부(민주적 결정 복원·정의로운 법 제정 절차의 불완전성·이익집단 불복종 조건);싱어식 결과 고려 정당화|교육과정은 시민 불복종을 시민 참여 방안으로만 다루는데 정답은 두 사상가의 정당화 논리 세부로 결정됨.|
2025_CSAT_Q18|D|CD_DETAIL|롤스 시민 불복종의 대상·근거||차등의 원칙에 근거한 법의 불복종 대상 여부;기본적 자유의 심각한 위반 국한;양심적 거부 규제|선지 판단이 롤스 정의 원칙 체계와 불복종 대상 범위 세부에 의존해 시민 참여로서의 시민 불복종 개념을 넘어섬.|
2025_SEPTEMBER_Q12|D|CD_DETAIL|롤스 시민 불복종 대상·주체||기본적 자유 침해 법에 대한 항거의 정당성 조건;거의 정의로운 사회·다수자 정의감 전제 세부|정답(ㄴ·ㄷ)이 롤스의 거의 정의로운 사회 조건과 정당화 제한 세부로 결정됨.|Phase 1 OCR 검토 문항
2017_CSAT_Q07|K||성별에 따른 차별 반대와 양성평등|2-01-03:EX:성별 등을 이유로 차별받는 사회적 소수자;;2-01-01:ST:인권의 의미||여성 차별 철폐 논거 판단은 사회적 소수자 차별 문제로 직접 해결됨.|
2018_SEPTEMBER_Q11|D|PHIL_JUSTICE|아리스토텔레스·벤담·롤스 분배 정의관||아리스토텔레스 기하학적 비례;롤스 절차적 공정성·최소 수혜자 세부;벤담 공리 계산|벤다이어그램 영역 배치가 아리스토텔레스 기하학적 비례 등 사상가 세부로 결정되어 해설의 업적·능력·필요 기준 적용을 넘어섬.|
2021_CSAT_Q10|D|PHIL_JUSTICE|노직·롤스 분배 정의 흐름도||노직 소유 권리의 역사성;롤스 도덕적 공과 배제·정의 원칙 순서;공리주의 비판 세부|흐름도 질문이 도덕적 공과, 정의 원칙의 축차적 순서 등 롤스·노직 이론 세부로 결정됨.|Phase 1 OCR 검토 문항
2022_CSAT_Q10|D|PHIL_JUSTICE|노직·롤스 정의관||도덕적 공과와 소유 권리;차등 원칙의 상호 이익성;기본적 자유 조정 가능성;천부적 자산 소유|정답이 차등 원칙의 호혜성, 기본적 자유의 조정 가능성 등 롤스 고급 해석에 의존함.|Phase 1 OCR 검토 문항
2025_CSAT_Q15|D|PHIL_JUSTICE|원초적 입장 당사자 조건;최소 국가||원초적 입장 당사자의 인격·상호 관계 조건;최소 국가와 소유 권리 존재 조건|원초적 입장의 세밀한 조건과 노직 국가론 세부가 정답을 결정해 자유주의적 정의관 비교 수준을 넘어섬.|
2014_CSAT_Q06|D|PUNISH|루소·칸트 사형 존폐 논거||사형 제도에 대한 사회 계약론적 존치 논거;칸트 응보주의 사형론|제시문으로 추론은 가능하나 문항 내용 자체가 사형 존폐 논쟁이며, 교육과정의 교정적 정의(공정한 법 집행)를 넘어선 형벌론 영역임.|제시문으로 추론 가능한 수준
2019_JUNE_Q19|K||패스트패션의 환경·노동 문제와 기업·소비자의 책임|2-03-02:EX:기업의 사회적 책임, 노동자의 권익, 윤리적 소비;;2-05-02:ST:지속가능한 발전을 위한 개인적 노력||기업과 소비자의 책임을 묻는 반론 판단은 해설 명시 개념으로 직접 해결됨.|Phase 1 OCR 검토 문항
2020_SEPTEMBER_Q16|K||기업의 사회적 책임 범위|2-03-02:EX:해설이 '기업의 사회적 책임'을 명시||기업의 공익 추구 여부에 대한 두 입장 판단은 기업의 사회적 책임 개념으로 해결됨.|
2020_JUNE_Q20|K||합리적 소비 vs 윤리적 소비|2-03-02:ST:합리적 선택의 의미와 한계;;2-03-02:EX:윤리적 소비||합리적 선택으로서의 소비와 윤리적 소비의 대비가 성취기준·해설과 직접 일치.|
2014_CSAT_Q18|K||세계화 시대 민족 정체성과 보편적 가치(세계시민)|2-04-01:EX:보편 윤리와 특수 윤리 간 갈등을 세계화 문제로 명시;;2-04-02:CE:내용 요소 '세계시민'||민족 중심 입장과 보편적 가치 기반 입장의 구분은 보편 윤리-특수 윤리 갈등과 세계시민 개념으로 판단 가능.|민족 정체성 이론(객관적 요소) 일부 포함
2019_JUNE_Q18|K||적극적 평화와 구조적·문화적 폭력|2-04-02:EX:해설이 소극적 평화와 적극적 평화 개념을 명시||옳지 않은 선지(직접적 폭력 제거만으로 인간 존엄 실현 조건 완비)가 적극적 평화 개념으로 판별됨; 칸트 선지는 정답 판단에 필수 아님.|
2022_JUNE_Q17|D|IR_THEORY|현실주의(모겐소) vs 칸트 영구 평화론||현실주의 국제 정치관(권력 투쟁·세력 균형) 세부;칸트 평화 연맹·세계 시민법 조항 세부|교육과정은 평화 개념과 행위 주체(국가·국제기구·NGO)의 역할을 다루나, 정답은 두 국제 정치 사상의 세부 명제로 결정됨.|국제기구 역할과 일부 연결
2024_CSAT_Q16|D|IR_THEORY|현실주의(모겐소) vs 칸트 영구 평화론||현실주의 국제 정치관(권력 투쟁·세력 균형) 세부;칸트 평화 연맹·세계 시민법 조항 세부|교육과정은 평화 개념과 행위 주체(국가·국제기구·NGO)의 역할을 다루나, 정답은 두 국제 정치 사상의 세부 명제로 결정됨.|국제기구 역할과 일부 연결
2025_SEPTEMBER_Q18|D|IR_THEORY|현실주의(모겐소) vs 칸트 영구 평화론||현실주의 국제 정치관(권력 투쟁·세력 균형) 세부;칸트 평화 연맹·세계 시민법 조항 세부|교육과정은 평화 개념과 행위 주체(국가·국제기구·NGO)의 역할을 다루나, 정답은 두 국제 정치 사상의 세부 명제로 결정됨.|국제기구 역할과 일부 연결
2021_JUNE_Q19|K||통일·대북 지원의 방식과 근거에 대한 관점 비교|2-04-03:EX:남북 분단의 배경과 평화통일을 향한 노력;;2-04-03:ST:남북 분단 상황 분석||통일 방식·근거(점진적 교류, 인도적 가치, 분단 비용)에 대한 관점 비교로 2-04-03에 직접 대응; 좌표 그림은 이미지로 확인 필요.|좌표 그림 OCR 손상
2023_SEPTEMBER_Q18|K||통일·대북 지원의 방식과 근거에 대한 관점 비교|2-04-03:EX:남북 분단의 배경과 평화통일을 향한 노력;;2-04-03:ST:남북 분단 상황 분석||통일 방식·근거(점진적 교류, 인도적 가치, 분단 비용)에 대한 관점 비교로 2-04-03에 직접 대응; 좌표 그림은 이미지로 확인 필요.|좌표 그림 OCR 손상
