# LIFE_ETHICS V4 strict curriculum / answer-logic audit (human semantic judgments; all 109 V3 items read + civil-disobedience policy re-review)
# KEEP requires A (official content match: [별책7] standard text/explanation/content element or KICE 2028 sample) AND B (that content decides the answer).
# fields: short_ids|K/D|theme|core_answer_logic|official_evidence (SRC:reference:supported_concept ;; ...)|topic_overlap_only Y/N|out_of_scope_knowledge|adaptation N/L/S|drop_reasons(;)|rationale|review_reasons(;)|previous_status
2014_CSAT_Q13,2022_SEPTEMBER_Q14|K|NONE|통일 이후 사회·문화적 이질성 때문에 갈등이 생기므로 사회·문화 교류 확대와 장기적 통합 대책이 필요하다|CURRICULUM:10통사2-04-03 해설:남북 분단의 배경과 평화통일을 향한 노력|N||L||정답이 평화통일을 위한 사회·문화적 통합 노력으로 결정되어 2-04-03 해설 개념과 직접 일치.||V3_KEEP
2020_CSAT_Q17,2021_JUNE_Q19|K|NONE|통일은 국민적 합의에 기초한 평화적·점진적 방식(비정치 영역 교류 협력부터)으로 추진해야 한다|CURRICULUM:10통사2-04-03 해설:평화통일을 향한 노력|N||N||통일 방식(점진적 평화통일 vs 급진적 정치 통합) 비교가 정답 논리이며 2-04-03 '평화통일을 향한 노력'과 직접 일치.||V3_KEEP
2021_CSAT_Q13,2022_CSAT_Q20|K|NONE|대북 지원 조건·종전 선언의 상호주의 여부 등 한반도 평화 정착 방법에 관한 토론의 핵심 쟁점 파악|CURRICULUM:10통사2-04-03 해설·고려 사항:남북 분단과 대립, 평화통일을 위한 노력|N||L||정답이 평화통일·한반도 평화를 위한 구체적 노력(대북 지원·종전 선언)의 방식 쟁점으로 결정됨.||V3_KEEP
2020_JUNE_Q09,2020_SEPTEMBER_Q11,2023_CSAT_Q20,2023_SEPTEMBER_Q18,2025_CSAT_Q20,2025_SEPTEMBER_Q20|K|NONE|분단 상황의 비용과 통일의 근거(평화·인도적 가치·경제적 실리)를 비교해 입장별 상대적 특징을 판단|CURRICULUM:10통사2-04-03 성취기준:남북 분단 상황을 분석하고 세계 평화에 기여할 방안 제안;;CURRICULUM:10통사2-04-03 해설:평화통일을 향한 노력|N||L||정답 논리가 남북 분단 상황 분석과 평화통일의 근거로 2-04-03 성취기준의 대상 그 자체임(넓은 주제 유사가 아님).|분단·평화·통일 비용 용어는 공식 문구에 없음(제시문 정의로 판단)|V3_KEEP
2021_SEPTEMBER_Q19|K|NONE|북한 인권 개선을 위한 국제 사회 적극 개입 여부가 토론의 핵심 쟁점|CURRICULUM:10통사2-01-03 성취기준:세계 인권 문제의 양상 조사와 해결 방안 모색;;CURRICULUM:10통사2-04-03:남북 분단 상황 분석|N||L||세계 인권 문제의 해결 방안(국제 사회 개입)이 정답 쟁점으로 2-01-03 과 직접 대응.|북한 인권 소재|V3_KEEP
2024_SEPTEMBER_Q20|K|PEACE_VIOLENCE|군사적 억지에 비해 남북 대화·교류로 신뢰를 형성하고 통일로 구조적·문화적 폭력까지 제거하는 적극적 평화를 강조|CURRICULUM:10통사2-04-02 해설:소극적 평화와 적극적 평화;;KICE_SAMPLE:28예시 Q18:구조적·문화적 폭력, 적극적 평화;;CURRICULUM:10통사2-04-03:평화통일을 향한 노력|N||N||적극적 평화 개념과 평화통일 노력으로 정답 결정, Q18 깊이와 일치.||V3_KEEP
2017_JUNE_Q18|K|PEACE_VIOLENCE|빈곤·인권 침해 등으로 삶의 질이 저하되는 상태도 (구조적) 폭력이며 적극적 평화는 이를 제거한 상태|CURRICULUM:10통사2-04-02 해설:소극적 평화와 적극적 평화;;KICE_SAMPLE:28예시 Q18:직접적·구조적·문화적 폭력|N||N||갈퉁 평화론이 28예시 Q18에서 직접 평가되고 정답이 구조적 폭력 개념으로 결정됨.||V3_KEEP
2014_JUNE_Q06|D|PEACE_VIOLENCE|칸트 영구 평화론의 확정 조항(공화정체·자유로운 국가들의 연방·세계시민법)을 이해해 세계 공화국이 아닌 국가 연합(국제기구)을 고르는 것|CURRICULUM:10통사2-04-02:국제기구 등 행위 주체의 역할(소재 수준)|Y|칸트 영구 평화론 확정 조항과 세계 공화국 거부 논리|S|PHILOSOPHER_SPECIFIC_CONTENT;TOPIC_OVERLAP_ONLY|'국제기구' 답이 나오지만 세계 공화국·세력 균형 등 오답 배제에 칸트 평화론 구체 조항 이해가 필요하며 이는 공식 자료에 없음.||V3_KEEP
2016_CSAT_Q18,2016_JUNE_Q20|D|PEACE_VIOLENCE|헌팅턴 문명 충돌론(단층선 분쟁·핵심국)과 뮐러 문명 공존론을 구별해 선지 판별|CURRICULUM:10통사2-04-02:국제 사회의 갈등과 협력(소재 수준)|Y|헌팅턴 문명 충돌론의 단층선·핵심국 개념, 문명 공존론|S|NO_OFFICIAL_CURRICULUM_SUPPORT;PHILOSOPHER_SPECIFIC_CONTENT;TOPIC_OVERLAP_ONLY|국제 갈등이라는 넓은 주제만 겹치고, 문명 충돌/공존 이론 자체는 [별책7]·28예시 어디에도 없음.||V3_KEEP
2014_CSAT_Q15,2024_JUNE_Q11|K|NONE|정보 사회의 정보 격차를 완화하기 위해 정보 접근권을 보장하고 정보 소외 계층 지원(인프라)이 필요하다|CURRICULUM:10통사1-05-02 해설:정보화에 따른 정보 격차 등 새로운 사회문제와 해결 방안|N||N||'정보 격차'가 1-05-02 해설에 명시되고 정답이 그 해결 방안으로 결정됨.||V3_KEEP
