# LIFE_ETHICS FINAL 136 targeted answer-logic correction (human semantic judgments; core question = what knowledge determines the correct answer)
# fields: short_id|K(KEEP)/D(DROP)|trigger(;)|answer_logic|integrated_social_content(;)|specific_extra_knowledge(empty=none)|kice_example_support|kice_depth_match Y/N|adaptation N=NONE L=LIGHT S=SUBSTANTIAL|drop_reasons(;)|why_content_presence_is_insufficient|review_reasons(;)
2019_SEPTEMBER_Q19|K|KICE_RESTORED;CIVIL_DISOBEDIENCE|제시문(완전한 절차 부재·질서정연한 사회의 심각한 부정의)과 '모든 부정의가 불복종 대상은 아니며 불복종은 체제 자체에 대한 항거가 아니다'라는 롤스 단일 논리로 ㄱ·ㄴ 선택|시민 불복종의 대상과 성격;법 준수 의무와 부정의한 법||28예시 Q14(롤스 단일 사상가: 모든 부정의한 법이 대상은 아님·헌법 체제 부정 아님)|Y|L|||보기 ㄹ(원초적 입장 원칙의 대상 여부) 표현 경계
2020_CSAT_Q18|K|KICE_RESTORED;CIVIL_DISOBEDIENCE|거의 정의로운 사회에서 부정의한 법의 정도에 따라 불복종 정당화가 달라진다는 롤스 단일 논리로 정답 결정|거의 정의로운 사회의 법 준수 의무;시민 불복종 정당화 조건||28예시 Q14(거의 정의로운 사회·모든 부정의한 법이 대상은 아님)|Y|N|||
2022_CSAT_Q03|K|KICE_RESTORED;CIVIL_DISOBEDIENCE|불복종은 헌법의 근거가 되는 공유된 정의 원칙에 의해 지도되어야 한다는 롤스 단일 논리로 정답 결정(종교적 신념 근거 부정 등)|공유된 정의관에 근거한 시민 불복종;공공성||28예시 Q14(공유된 정의관·헌법 체제 인정)|Y|N|||
2022_JUNE_Q16|K|KICE_RESTORED;CIVIL_DISOBEDIENCE|시민 불복종 정의(공공적·비폭력적·위법적 정치 행위)와 거의 정의로운 사회 전제에서 '기본구조가 아주 부정의하면 성립하지 않음'을 고르는 롤스 단일 논리|시민 불복종의 요건(공공성·비폭력·위법성);거의 정의로운 사회 전제||28예시 Q14(거의 정의로운 사회·공개적 비폭력)|Y|N|||
2027_SEPTEMBER_Q09|K|KICE_RESTORED;CIVIL_DISOBEDIENCE|공유된 정의관에 의거한 공공적·비폭력적·양심적 위법 행위라는 정의로부터 '대상 법은 부정의해야 한다'를 고르는 롤스 단일 논리|공유된 정의관;시민 불복종 요건(위법성·양심)||28예시 Q14(공유된 정의관·모든 부정의한 법이 대상은 아님)|Y|N|||
2018_CSAT_Q03|K|CORE;CIVIL_DISOBEDIENCE|롤스 단일: 불복종 목적에 정부 정책 개혁이 포함된다는 기본 성격으로 부정 대답 결정|시민 불복종의 주체·공개성·정의감 호소·목적||28예시 Q14(롤스 단일, 공개적·정의관 호소)|Y|N|||
2018_SEPTEMBER_Q08|K|CORE;CIVIL_DISOBEDIENCE|롤스 단일: 불복종은 공개적으로 주목받아야 할 위법 행위라는 요건으로 긍정 대답 결정|시민 불복종 요건(공공성·비폭력·위법성)||28예시 Q14(공개적·비폭력적)|Y|N|||
2019_CSAT_Q18|K|CORE;CIVIL_DISOBEDIENCE|롤스 단일: 사회적 협동의 기본 원리에 근거한 양심적 항거이며 민주적 정부의 법도 대상이 될 수 있다는 기본 성격으로 보기 결정|시민 불복종의 정당화 근거·대상;비폭력성||28예시 Q14(거의 정의로운 사회·정의감 호소)|Y|N|||
2020_JUNE_Q12|K|CORE;CIVIL_DISOBEDIENCE|롤스 단일: 처벌 감수 전제, 개인 양심만으로는 정당하지 않을 수 있음, 합법 제정 법도 대상 가능이라는 요건으로 보기 결정|시민 불복종의 처벌 감수·정당한 근거;위법성||28예시 Q14(처벌 감수·공유된 정의관)|Y|N|||
2021_JUNE_Q11|D|KICE_RESTORED;CIVIL_DISOBEDIENCE;MULTI_PHILOSOPHER|갑(롤스)·을(싱어) 구별 후 싱어의 결과(이익·해악) 저울질·합법적 수단 우선과 롤스의 정의감 호소를 비교해야 선지 판별 가능|시민 불복종|싱어 공리주의적 시민 불복종 정당화(사회적 이익과 해악 저울질)|28예시 Q14는 롤스 단일 사상가만 다룸|N|S|PHILOSOPHER_COMPARISON_REQUIRED;LIFE_ETHICS_SPECIFIC_THEORY|시민 불복종이 등장하지만 오답 배제에 싱어 입장 식별이 필수라 핵심 정답 논리가 사상가 비교임. 싱어를 제거하면 갑/을 구조와 선지 대부분을 재설계해야 함.|
2019_JUNE_Q16,2020_SEPTEMBER_Q07,2017_CSAT_Q08,2018_JUNE_Q12|D|CIVIL_DISOBEDIENCE;MULTI_PHILOSOPHER|갑/을 중 소로(양심 우선·법보다 정의 존중)와 롤스(공유된 정의관·체제 합법성 인정)를 식별·비교해야 보기 판별 가능|시민 불복종|소로 시민 불복종론(개인 양심 우선) 식별과 롤스와의 차이|28예시 Q14는 롤스 단일, 소로 비교 없음|N|S|PHILOSOPHER_COMPARISON_REQUIRED;LIFE_ETHICS_SPECIFIC_THEORY|시민 불복종 내용은 있으나 정답이 소로 vs 롤스 사상가별 정당화 근거 비교로 결정되며 한 사상가를 제거하면 문항 구조가 무너짐.|
2017_JUNE_Q16|D|CORE;CIVIL_DISOBEDIENCE;MULTI_PHILOSOPHER|롤스(제1원칙·공정한 기회균등 위반 국한)와 소로 비교로 선지 판별|시민 불복종|롤스 불복종 대상 원칙 세부;소로 양심 우선론|28예시 Q14보다 깊은 대상 원칙 세부 + 사상가 비교|N|S|PHILOSOPHER_COMPARISON_REQUIRED;OUTSIDE_KICE_DEPTH|시민 불복종이 등장하나 정답이 롤스 원칙별 대상 범위와 소로 입장 비교에 달려 있음.|
2021_CSAT_Q12|D|CORE;CIVIL_DISOBEDIENCE;MULTI_PHILOSOPHER|갑(싱어: 효용·비용 편익 고려)과 을(롤스: 다수 정의관 위반 시 정당화)을 구별해야 '적절하지 않은 것' 판별 가능|시민 불복종|싱어 결과주의적 시민 불복종 정당화|28예시 Q14는 롤스 단일|N|S|PHILOSOPHER_COMPARISON_REQUIRED;LIFE_ETHICS_SPECIFIC_THEORY|롤스 시민 불복종이 포함돼 있으나 싱어 결과주의 vs 롤스 정의론 비교가 정답 결정에 필수.|
2021_SEPTEMBER_Q07|D|KICE_RESTORED;CIVIL_DISOBEDIENCE|공직을 맡을 권리 침해 정책이 불복종 대상이라는 판단(롤스 기본적 자유 목록)과 원초적 입장 당사자의 불복종 조건 채택 논리로 정답 결정|시민 불복종 대상|롤스 기본적 자유 목록(공직 담임권)과 원초적 입장에서의 불복종 조건 채택|28예시 Q14는 기본적 자유 일반 수준만 확인|N|S|OUTSIDE_KICE_DEPTH;LIFE_ETHICS_SPECIFIC_THEORY|시민 불복종 주제이나 정답이 롤스 정의론 내부 세부(기본적 자유 목록·원초적 입장 적용)로 결정됨.|
2026_JUNE_Q06|D|KICE_RESTORED;CIVIL_DISOBEDIENCE|기본구조 규제 원칙에 대한 불복종 불가, 체제 안정성에 따른 제한, 기본적 자유 제한 법의 대상 여부 등 롤스 원전 세부 해석으로 정답 결정|시민 불복종 대상|롤스 시민 불복종 이론의 입헌 민주주의 보충 역할·안정성 제한 세부|28예시 Q14보다 깊은 원전 해석|N|S|OUTSIDE_KICE_DEPTH;LIFE_ETHICS_SPECIFIC_THEORY|시민 불복종이 등장하나 선지가 롤스 원전의 미세 구분에 의존해 통합사회 지식만으로 판별 불가.|
