id,exam_key,question_number,original_compilation_page,split_pdf,split_pdf_page,confidence,warnings,qa_flags,question_image
2014_CSAT_LIFE_ETHICS_Q07,2014_CSAT_LIFE_ETHICS,7,10,생윤기출_01_p001-020.pdf,10,0.618,CHOICE_MARKERS_NOT_RESOLVED_BY_IMAGE (unresolved groups=[4]) | CHOICES_COUNT_1,QA_CHOICES_1,data/questions/images/2014_CSAT_LIFE_ETHICS_Q07.png
2014_CSAT_LIFE_ETHICS_Q09,2014_CSAT_LIFE_ETHICS,9,10,생윤기출_01_p001-020.pdf,10,0.856,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2014_CSAT_LIFE_ETHICS_Q09.png
2014_SEPTEMBER_LIFE_ETHICS_Q08,2014_SEPTEMBER_LIFE_ETHICS,8,6,생윤기출_01_p001-020.pdf,6,0.83,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 3, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2014_SEPTEMBER_LIFE_ETHICS_Q08.png
2015_CSAT_LIFE_ETHICS_Q02,2015_CSAT_LIFE_ETHICS,2,21,생윤기출_02_p021-040.pdf,1,0.873,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2015_CSAT_LIFE_ETHICS_Q02.png
2015_CSAT_LIFE_ETHICS_Q20,2015_CSAT_LIFE_ETHICS,20,24,생윤기출_02_p021-040.pdf,4,0.848,"TRAILING_NOTICE_BOX_EXCLUDED | CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2015_CSAT_LIFE_ETHICS_Q20.png
2015_JUNE_LIFE_ETHICS_Q07,2015_JUNE_LIFE_ETHICS,7,14,생윤기출_01_p001-020.pdf,14,0.82,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2015_JUNE_LIFE_ETHICS_Q07.png
2015_JUNE_LIFE_ETHICS_Q10,2015_JUNE_LIFE_ETHICS,10,14,생윤기출_01_p001-020.pdf,14,0.867,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 3, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2015_JUNE_LIFE_ETHICS_Q10.png
2015_SEPTEMBER_LIFE_ETHICS_Q18,2015_SEPTEMBER_LIFE_ETHICS,18,20,생윤기출_01_p001-020.pdf,20,0.85,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2015_SEPTEMBER_LIFE_ETHICS_Q18.png
2015_SEPTEMBER_LIFE_ETHICS_Q20,2015_SEPTEMBER_LIFE_ETHICS,20,20,생윤기출_01_p001-020.pdf,20,0.883,"TRAILING_NOTICE_BOX_EXCLUDED | CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2015_SEPTEMBER_LIFE_ETHICS_Q20.png
2016_CSAT_LIFE_ETHICS_Q08,2016_CSAT_LIFE_ETHICS,8,34,생윤기출_02_p021-040.pdf,14,0.861,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인)",,data/questions/images/2016_CSAT_LIFE_ETHICS_Q08.png
2016_JUNE_LIFE_ETHICS_Q02,2016_JUNE_LIFE_ETHICS,2,25,생윤기출_02_p021-040.pdf,5,0.802,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE2_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE4_TEXT_FROM_CELL_OCR | CHOICE5_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[5] (원문자 기호 등 OCR 불가, 이미지 확인) | VISUAL_DETECTION_UNAVAILABLE_SCANNED_PAGE",,data/questions/images/2016_JUNE_LIFE_ETHICS_Q02.png
2016_JUNE_LIFE_ETHICS_Q09,2016_JUNE_LIFE_ETHICS,9,26,생윤기출_02_p021-040.pdf,6,0.496,QNUM_OCR_CORRECTED: 숫자OCR '92' / 토큰 '9.' -> 9 | VISUAL_DETECTION_UNAVAILABLE_SCANNED_PAGE,,data/questions/images/2016_JUNE_LIFE_ETHICS_Q09.png
2016_JUNE_LIFE_ETHICS_Q11,2016_JUNE_LIFE_ETHICS,11,27,생윤기출_02_p021-040.pdf,7,0.484,QNUM_OCR_CORRECTED: 숫자OCR '1.7' / 토큰 '11.' -> 11 | VISUAL_DETECTION_UNAVAILABLE_SCANNED_PAGE,,data/questions/images/2016_JUNE_LIFE_ETHICS_Q11.png
2016_JUNE_LIFE_ETHICS_Q12,2016_JUNE_LIFE_ETHICS,12,27,생윤기출_02_p021-040.pdf,7,0.81,"CHOICE1_TEXT_FROM_CELL_OCR | CHOICE3_TEXT_FROM_CELL_OCR | CHOICE4_TEXT_FROM_CELL_OCR | CHOICE_TEXT_UNRELIABLE choices=[1, 2, 3, 4, 5] (원문자 기호 등 OCR 불가, 이미지 확인) | VISUAL_DETECTION_UNAVAILABLE_SCANNED_PAGE",,data/questions/images/2016_JUNE_LIFE_ETHICS_Q12.png
